Reason:                  Needs:          Wants:        Savings:
NEEDS                    110.99               0               0
WANTS                         0          111.13               0
SAVINGS                       0               0          541.39
CHICKFILA                     0           -9.68               0
HOTPOT                        0          -49.66               0
SCHOOLSUPPLIES                0          -21.67               0
PANDAEXPRESS                  0          -10.17               0
ACNECREAM                     0          -11.88               0
BOOKFORSCHOOL             -6.99               0               0
HAIRCUT                       0               0           -40.0
GAS1/11                   -41.9               0               0
BOCA-INCOME                 100             100          386.89
STARBUCKS                     0            -7.0               0
PIZZA                         0           -6.41               0
